cvegeo,state,municipality,cropmanagement,latitude,longitude,year,elevation(meters),srad(w/m^2),tmax(celsius),tmin(celsius),vp(pa),prcp(mm/day),price,sowed(ha),harvest(ha),cropproduction,yield
4004,Campeche,Champotón,Temporal,19.13421999999993,-90.4993199999997,2003,55.0,405.9528770969339,32.28630136986301,18.76438356164384,1760.0,3.2246575342465755,340.0,8255.0,6105.59,250146.02,40.97
6002,Colima,Colima,Riego,19.116100000000124,-103.63266999999964,2003,626.0,424.0131509441218,31.81643835616439,17.754794520547946,1532.164383561644,2.6054794520547944,307.0,1027.5,1027.5,84945.0,82.67
6002,Colima,Colima,Temporal,19.116100000000124,-103.63266999999964,2003,626.0,424.0131509441218,31.81643835616439,17.754794520547946,1532.164383561644,2.6054794520547944,307.0,468.0,468.0,38045.0,81.29
6004,Colima,Coquimatlán,Riego,19.18812999999981,-103.92075000000006,2003,266.0,419.05095912985604,33.36849315068493,18.153424657534245,1567.6712328767126,3.0904109589041098,307.0,246.0,246.0,25338.0,103.0
6010,Colima,Villa de Álvarez,Riego,19.30959999999985,-103.84442999999992,2003,462.0,420.6816445128558,33.75890410958904,18.072602739726022,1563.3972602739725,2.854794520547945,307.0,89.5,86.0,6940.0,80.7
6010,Colima,Villa de Álvarez,Temporal,19.30959999999985,-103.84442999999992,2003,462.0,420.6816445128558,33.75890410958904,18.072602739726022,1563.3972602739725,2.854794520547945,307.0,613.0,589.5,41805.0,70.92
6003,Colima,Comala,Riego,19.39343999999989,-103.76999000000048,2003,889.0,434.04273911567583,31.36027397260274,16.194520547945206,1387.1780821917807,2.6,306.0,170.5,170.5,15515.0,91.0
6003,Colima,Comala,Temporal,19.39343999999989,-103.76999000000048,2003,889.0,434.04273911567583,31.36027397260274,16.194520547945206,1387.1780821917807,2.6,307.0,474.0,474.0,35550.0,75.0
6005,Colima,Cuauhtémoc,Riego,19.326839999999926,-103.59550000000007,2003,944.0,429.2032865341397,31.427397260273967,16.826027397260273,1451.1780821917807,3.558904109589041,306.0,24.0,24.0,2280.0,95.0
6005,Colima,Cuauhtémoc,Temporal,19.326839999999926,-103.59550000000007,2003,944.0,429.2032865341397,31.427397260273967,16.826027397260273,1451.1780821917807,3.558904109589041,307.0,5571.0,5571.0,450405.0,80.85
6008,Colima,Minatitlán,Temporal,19.37208999999989,-104.03106000000051,2003,1173.0,438.88219345301803,27.831506849315076,11.7986301369863,1064.2191780821918,4.597260273972604,307.0,42.0,42.0,3192.0,76.0
7106,Chiapas,Venustiano Carranza,Riego,16.31731000000007,-92.60789999999984,2003,581.0,433.8323294861676,32.72054794520548,18.15205479452055,1545.4246575342465,3.1232876712328768,300.0,9389.5,8647.0,789471.1,91.3
7075,Chiapas,Las Rosas,Riego,16.365310000000076,-92.36473000000046,2003,1358.0,453.9002735712757,27.34246575342466,13.547945205479452,1156.7123287671236,2.7150684931506848,306.0,1407.0,1395.0,128340.0,92.0
